model,layer,k,mode,seed,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
random_seed1,6,20,l2,0,0.03018035925924778,2.6666499856654076,89.16159057998087,0.05061003526775978,0.1055,0.9741000533103943,17.46736717224121
random_seed1,6,20,l2,1,0.04700178653001785,2.634831598466776,89.41791020409293,0.0544341301187201,0.111,0.9741000533103943,17.46736717224121
random_seed1,6,20,l2,2,0.049157556146383286,2.577515881114345,88.75438879391818,0.049099080587951247,0.106,0.9741000533103943,17.46736717224121
random_seed1,6,20,l2,3,0.028349097818136215,2.498200395071371,89.88697200888001,0.0591802641188899,0.1135,0.9741000533103943,17.46736717224121
random_seed1,6,20,l2,4,0.03446226194500923,2.8090349571771607,88.11350704830818,0.06552108122591642,0.1165,0.9741000533103943,17.46736717224121
random_seed1,7,20,l2,0,0.03446501865983009,2.556859302308782,89.3551814065406,0.05419237402593592,0.11,0.9737972617149353,17.128528594970703
random_seed1,7,20,l2,1,0.02663923241198063,2.7951259857298387,88.13585077925269,0.05929290788223178,0.1125,0.9737972617149353,17.128528594970703
random_seed1,7,20,l2,2,0.03306759521365166,2.6753518705702,89.52199135014105,0.06258839443811216,0.114,0.9737972617149353,17.128528594970703
random_seed1,7,20,l2,3,0.03201647475361824,2.5063614615579977,90.04431169731765,0.0534031641389378,0.1125,0.9737972617149353,17.128528594970703
random_seed1,7,20,l2,4,0.04102113097906113,2.7544500601014676,89.86370985119632,0.04965503911000334,0.1055,0.9737972617149353,17.128528594970703
random_seed1,8,20,l2,0,0.03889228031039238,2.7859803490912998,90.22909008153445,0.052624070072233714,0.1105,0.9719198346138,16.972148895263672
random_seed1,8,20,l2,1,0.036411065608263016,2.661648234689829,90.53754059460535,0.050531244225649634,0.109,0.9719198346138,16.972148895263672
random_seed1,8,20,l2,2,0.03743959218263626,2.4890872896458043,90.27619543718038,0.054790657334078674,0.1085,0.9719198346138,16.972148895263672
random_seed1,8,20,l2,3,0.046443723142147064,2.571522189552937,89.22016628259362,0.05206820206152339,0.105,0.9719198346138,16.972148895263672
random_seed1,8,20,l2,4,0.0423102080821991,2.5461678436142376,90.47746116256678,0.050522665628173806,0.109,0.9719198346138,16.972148895263672
random_seed1,9,20,l2,0,0.038130346685647964,2.781507885917061,89.79057950064632,0.04814814551706696,0.1055,0.9703968167304993,16.659696578979492
random_seed1,9,20,l2,1,0.044924475252628326,2.6454688929293435,90.8943521582069,0.05544035470429574,0.1085,0.9703968167304993,16.659696578979492
random_seed1,9,20,l2,2,0.041320618242025375,2.7280659588070177,90.76395869628548,0.049779500638170944,0.107,0.9703968167304993,16.659696578979492
random_seed1,9,20,l2,3,0.03235670551657677,2.549196905444949,89.51001069125249,0.06179627479587485,0.1145,0.9703968167304993,16.659696578979492
random_seed1,9,20,l2,4,0.04216587543487549,2.7044081605992787,90.67533973321743,0.05265890587505935,0.11,0.9703968167304993,16.659696578979492
random_seed1,10,20,l2,0,0.03409617766737938,2.647597605102214,88.92269714529213,0.050975288524637764,0.111,0.9693695306777954,16.549251556396484
random_seed1,10,20,l2,1,0.03925860673189163,2.8615320609070976,89.82861776121601,0.04905602484178632,0.1085,0.9693695306777954,16.549251556396484
random_seed1,10,20,l2,2,0.03603854030370712,2.659287902230093,90.01791976404824,0.04550839866725366,0.1065,0.9693695306777954,16.549251556396484
random_seed1,10,20,l2,3,0.03773413226008415,2.6291910401822425,90.65213866839413,0.05550573527763111,0.1135,0.9693695306777954,16.549251556396484
random_seed1,10,20,l2,4,0.041133590042591095,2.453176580483588,90.42915351400326,0.053720804744764684,0.1095,0.9693695306777954,16.549251556396484
random_seed1,11,20,l2,0,0.043351754546165466,2.4624052843678186,88.92116689261489,0.04844732929844535,0.105,0.9708625674247742,16.938135147094727
random_seed1,11,20,l2,1,0.039333879947662354,2.862070961912906,88.4213698132719,0.06084126889391372,0.1135,0.9708625674247742,16.938135147094727
