model,pooling,clusterer,k,seed,whiten_dim,n_features,svd_time_s,transform_time_s,silhouette,davies_bouldin,calinski_harabasz,nmi,purity,anisotropy,participation_ratio
random_seed1,layer12,spherical,20,0,200,200,0.36736559867858887,0.0030782222747802734,0.013122251257300377,6.572872792623933,6.622409910524296,0.056875913962424786,0.119,0.0001490839058533311,182.17062377929688
random_seed1,layer12,spherical,20,1,200,200,0.36736559867858887,0.0030782222747802734,0.011284932494163513,6.672031179076988,6.551469700360397,0.05564946530609867,0.1245,0.0001490839058533311,182.17062377929688
random_seed1,layer12,spherical,20,2,200,200,0.36736559867858887,0.0030782222747802734,0.011886697262525558,6.772912331363969,6.437052511470469,0.05898114494460156,0.123,0.0001490839058533311,182.17062377929688
random_seed1,layer12,spherical,20,3,200,200,0.36736559867858887,0.0030782222747802734,0.01259046420454979,6.7319354024807385,6.538028524977371,0.060306640432843096,0.1265,0.0001490839058533311,182.17062377929688
random_seed1,layer12,spherical,20,4,200,200,0.36736559867858887,0.0030782222747802734,0.012733954936265945,6.697284711410431,6.506543970242903,0.05333822323264643,0.117,0.0001490839058533311,182.17062377929688
random_seed1,layer12,spherical,20,0,300,300,0.36736559867858887,0.0040285587310791016,0.006665985099971294,7.946227394209013,4.312938442163112,0.05640199123075165,0.127,-9.303048136644065e-05,272.34783935546875
random_seed1,layer12,spherical,20,1,300,300,0.36736559867858887,0.0040285587310791016,0.007681732997298241,7.948194608500418,4.393066170899314,0.05200915013290116,0.1245,-9.303048136644065e-05,272.34783935546875
random_seed1,layer12,spherical,20,2,300,300,0.36736559867858887,0.0040285587310791016,0.006380762439221144,8.02881580384022,4.390704140696894,0.058945682029287225,0.1255,-9.303048136644065e-05,272.34783935546875
random_seed1,layer12,spherical,20,3,300,300,0.36736559867858887,0.0040285587310791016,0.007221263833343983,7.961091848061541,4.391356372823337,0.06522246370799291,0.1315,-9.303048136644065e-05,272.34783935546875
random_seed1,layer12,spherical,20,4,300,300,0.36736559867858887,0.0040285587310791016,0.008077017031610012,7.847770661101725,4.483155701641927,0.06142198734097335,0.128,-9.303048136644065e-05,272.34783935546875
random_seed1,layer12,spherical,20,0,500,500,0.36736559867858887,0.009885072708129883,0.0024048108607530594,9.818487230163141,2.4691523617776454,0.050966333518587655,0.1175,-0.0003012077941093594,452.5653076171875
random_seed1,layer12,spherical,20,1,500,500,0.36736559867858887,0.009885072708129883,0.002542228205129504,9.889455938119868,2.4923960185837846,0.05434852431692906,0.1295,-0.0003012077941093594,452.5653076171875
random_seed1,layer12,spherical,20,2,500,500,0.36736559867858887,0.009885072708129883,0.0029283566400408745,9.838063605689616,2.5861339472259637,0.05475174110382166,0.125,-0.0003012077941093594,452.5653076171875
random_seed1,layer12,spherical,20,3,500,500,0.36736559867858887,0.009885072708129883,0.002240785863250494,9.844768082671763,2.468531514016079,0.04743118667877754,0.115,-0.0003012077941093594,452.5653076171875
random_seed1,layer12,spherical,20,4,500,500,0.36736559867858887,0.009885072708129883,0.0025991706643253565,9.922867305093172,2.510388182697007,0.049742195246054735,0.1205,-0.0003012077941093594,452.5653076171875
random_seed1,layer12,spherical,20,0,768,768,0.36736559867858887,0.012439966201782227,-0.0004398178425617516,11.960542831634823,1.4975384583994196,0.039707629293300975,0.107,0.001071237027645111,707.4861450195312
random_seed1,layer12,spherical,20,1,768,768,0.36736559867858887,0.012439966201782227,-0.000435740890679881,12.157640889938559,1.4956335111884844,0.03756926493446174,0.1015,0.001071237027645111,707.4861450195312
random_seed1,layer12,spherical,20,2,768,768,0.36736559867858887,0.012439966201782227,-0.00034410812077112496,11.903997075441108,1.5227816165292756,0.03985792507831171,0.1085,0.001071237027645111,707.4861450195312
random_seed1,layer12,spherical,20,3,768,768,0.36736559867858887,0.012439966201782227,-0.00038285000482574105,12.02975831358046,1.506584060285058,0.04106472145574782,0.108,0.001071237027645111,707.4861450195312
random_seed1,layer12,spherical,20,4,768,768,0.36736559867858887,0.012439966201782227,-0.00031459235469810665,12.004407723141775,1.5117050118054982,0.03523148811269867,0.101,0.001071237027645111,707.4861450195312
